acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;key;popularity
8700000000000000;4906670000000000;1823200;4678330000000000;1591;44435;-101155;8715;11842200000000000;3835;2;2483333333333330
8421110000000000;4263330000000000;27212200000000000;3670000000000000;26134400000000000;312;-1261390000000000;10153300000000000;9005860000000000;4357780000000000;8;2488888888888890
8712730000000000;36169700000000000;18855100000000000;19833300000000000;5114080000000000;15485800000000000;-15602800000000000;3276060000000000;10914200000000000;2613850000000000;7;2496969696969700
8221610000000000;30451300000000000;20302400000000000;3489080000000000;2812630000000000;17637300000000000;-12129700000000000;3647200000000000;104757000000000;306093000000000;5;2503813559322030
8928890000000000;3171110000000000;16381600000000000;7994440000000000;18644444444;19344400000000000;-18711;39277800000000000;9527310000000000;3855560000000000;5;2511111111111110
5175560000000000;5953330000000000;29441900000000000;4917780000000000;4413670000000000;13426700000000000;-14315400000000000;3730000000000000;10666500000000000;5564440000000000;5;2511111111111110
24890200000000000;4786670000000000;11045500000000000;9121110000000000;2356380000000000;4625560000000000;-6598670000000000;9172220000000000;13286200000000000;3495560000000000;10;2511111111111110
9088330000000000;4093330000000000;27353800000000000;251;32575000000000000;2579;-16240800000000000;6998330000000000;82899;3608330000000000;7;2516666666666670
8373330000000000;42200000000000000;2093290;3563330000000000;523333333;6885;-1540780000000000;1583170000000000;13149300000000000;4648330000000000;11;2516666666666670
8714580000000000;4524750000000000;2166000000000000;34660800000000000;512466000000000;3026250000000000;-12553800000000000;967492000000000;10809600000000000;3867320000000000;8;2516949152542370
8246670000000000;4892380000000000;1601120000000000;2972670000000000;34350800000000000;20204800000000000;-16788300000000000;3729050000000000;11461100000000000;5709050000000000;4;2523809523809520
6238950000000000;5452430000000000;1631770000000000;4341620000000000;12771100000000000;1938950000000000;-10691100000000000;5108110000000000;11647800000000000;6235950000000000;1;2527027027027030
8714210000000000;5630360000000000;2654610000000000;20637000000000000;5281840000000000;17500300000000000;-18382700000000000;48937600000000000;11230200000000000;4611100000000000;0;2527601809954750
805;46;12308500000000000;3033330000000000;39406300000000000;9363330000000000;-13070300000000000;30300000000000000;10075000000000000;4786670000000000;10;2533333333333330
7606670000000000;5943330000000000;34522600000000000;2319;0;2896670000000000;-13946700000000000;33736700000000000;124137;5760000000000000;5;2533333333333330
8354440000000000;5411110000000000;29308300000000000;3436670000000000;43628200000000000;13480000000000000;-1627470000000000;3787780000000000;10990900000000000;7388890000000000;8;2533333333333330
805;46;12308500000000000;3033330000000000;39406300000000000;9363330000000000;-13070300000000000;30300000000000000;10075000000000000;4786670000000000;5;2533333333333330
3833385;5623330000000000;22240000000000000;6473330000000000;7813330000000000;12133300000000000;-11036300000000000;45566700000000000;12053900000000000;7060000000000000;0;2533333333333330
15670900000000000;6927780000000000;33943500000000000;6846670000000000;2827470000000000;14075600000000000;-10580300000000000;59866700000000000;13535000000000000;6672220000000000;1;2533333333333330
3321330000000000;7577780000000000;3029290000000000;6034440000000000;11963000000000000;268;-12428400000000000;4013330000000000;11783600000000000;7602220000000000;4;2533333333333330
407;6470000000000000;19944300000000000;4555560000000000;11444444444;14413300000000000;-12352000000000000;41588900000000000;12211500000000000;8924440000000000;10;2533333333333330
